,État,Marque,Date,nom,Prix,Description,keep,cat
46,NEUF SANS ÉTIQUETTE,RICA LEWIS,2022-04-01,JEAN FEMME RICA LEWIS TAILLE 44 NEUF,9.0,JEAN FEMME TAILLE 44 NEUF SANS ÉTIQUETTE JAMAIS PORTER RICA LEWIS LARGEUR TAILLE PRIT À PLAT D UN COTER 44 CM LONG TOTAL 112 CM ENTRE JAMBE 85 CM LARG BAS DES JAMBES 21 CM LARGEUR HAUT DES CUISSES PRIT À PLAT D UN COTER 33 CM AVEC UN PEU D ELASTANE,False,UltraFastFashion
47,TRÈS BON ÉTAT,PEPE JEANS,2022-04-04,🦉LIQUIDATION 🦉JEAN PEPEJEANS 36 🦅,10.0,"DERNIÈRE BAISSE DE PRIX 
🦉JEAN PEPEJEANS 36 🦅

🎁 TOUJOURS 1 CADEAU DANS VOS COLIS 

🚛 ⚠️JE PRÉFÈRE MONDIAL RELAY OU CHRONOPOST 
MOINS CHER, À CÔTÉ DE CHEZ MOI, DÉPÔTS LE JOUR MÊME OU LE LENDEMAIN.
📮LA POSTE : 10KMS, DÉPOTS LE SAMEDI MATIN.
ET JE NE PEUX PAS AVANCER LES FDP.

😘JE NE SUIS PAS RESPONSABLE DES RETARDS DE VOS COLIS, MERCI DE VOTRE COMPRÉHENSION😘.

💕 MES VÊTEMENTS SONT NEUFS, QUASI NEUFS, PORTÉS 1 OU 2 FOIS, VOIRE QUELQUES HEURES ! 
EN TRÈS BON ÉTAT, PROPRES, REPASSÉS, PARFUMÉS. 
PASSÉS AU CRIBLE AVANT L'ENVOI. SI DÉFAUT : SIGNALÉ DANS LE DESCRIPTIF.

⛔ PAS D'ÉCHANGE, REPRISE , REMBOURSEMENT, TOUT EST DIT DANS LE DESCRIPTIF, IL SUFFIT DE LE LIRE.
VOUS POUVEZ REVENDRE L'ARTICLE S'IL NE VOUS VA PAS COMME JE LE FAIS LORSQUE JE ME TROMPE.

#KHEOPS12TAILLES
#KHEOPS12PANTALON
#KHEOPS12PEPEJEANS
#PANTALON
#JEAN
#PANTALONJEAN
#PANTALON36
#PANTALONPEPEJEANS
#PEPEJEANS36
#PEPEJEANS
#VINTED
#VINTEDFRANCE",False,FastFashion
48,TRÈS BON ÉTAT,NAF NAF,2022-04-01,JEAN FEMME,5.0,"JEAN EN TRÈS BON ÉTAT, TAILLE 38",False,FastFashion
49,TRÈS BON ÉTAT,VINTAGE,2022-04-04,JEAN VINTAGE EN VELOURS CÔTELÉ,17.0,"JEAN COUPE DROITE. MODÈLE VINTAGE, TAILLE 32.
VELOURS CÔTELÉ GRIS FONCÉ",False,UltraFastFashion
50,TRÈS BON ÉTAT,LEVI'S,2022-04-04,JEAN LEVI’S LARGE MODÈLE 508,20.0,"QUELQUES TRACES D’USURE VISIBLES SUR LES PHOTOS MAIS TRÈS BON ÉTAT GÉNÉRAL.
TAILLE : W32 L34.",False,FastFashion
51,NEUF AVEC ÉTIQUETTE,LTB,2022-03-30,JEAN NEUF AVEC ÉTIQUETTE TAILLE 36,10.0,JEAN FEMME NEUF AVEC ÉTIQUETTE TAILLE 36 JAMAIS PORTER NEUF AVEC ÉTIQUETTE LARGEUR TAILLE PRIT À PLAT D UN COTER 36 CM LONG TOTAL 106 CM ENTRE JAMBE 83 CM LARG BAS DES JAMBES 20 CM LARG HAUT CUISSE PRIT À PLAT D UN COTER 27 CM AVEC ELASTANE,False,UltraFastFashion
52,NEUF AVEC ÉTIQUETTE,MANGO,2022-03-11,JEAN DROIT 7/8 MANGO COUPE DROITE 38,22.0,"JEAN DROIT 7/8 #MANGO COUPE DROITE 38

TISSU EN COTON STYLE DENIM. COUPE DROITE. TAILLE NORMALE. PASSANTS POUR LA CEINTURE. CINQ POCHES. FERMETURE À BOUTON.
99% COTON 
1% ELASTHANE 
TAILLE À PLAT 36 CM
HANCHES 42 CM
LONGUEUR 93 CM
ENTREJAMBES 65 CM

#MANGO #MANGOWOMAN",False,FastFashion
53,NEUF AVEC ÉTIQUETTE,LEVI'S,2022-04-04,JEAN 501 SLIM TAPER BLANC T32/34,40.0,JEANS HOMME 501 SLIM TAPER BANC TAILLE US 32/34 CORRESPOND À UN 42 FR,False,FastFashion
54,TRÈS BON ÉTAT,ZARA,2022-04-04,COMBINAISON ZARA JEAN,13.0,"SUPERBE COMBINAISON JEAN ZARA
TAILLE 11/12 ANS 152CM
JEAN TRÈS AGRÉABLE À PORTER DOUX 
FERMETURE PRESSION PEUT SE PORTER AVEC UN PETIT COL ROULÉ EN DESSOUS EFFET TRÈS STYLÉ 
COMME NEUVE PORTÉE 1 FOIS 
TROP PETITE POUR MA FILLE",False,FastFashion
55,TRÈS BON ÉTAT,KIABI,2022-04-04,JEAN SKINNY KIABI,10.0,TRÈS PEU PORTÉ,False,FastFashion
56,TRÈS BON ÉTAT,ZARA,2022-04-02,JEAN MOM ZARA,15.0,"JEAN BLEU, TAILLE MOM ZARA, TAILLE 40 MAIS PETIT (PLUS 38)",False,FastFashion
57,TRÈS BON ÉTAT,SALSA,2022-03-31,JEAN NOIR SALSA 40,20.0,EXCELLENT ÉTAT,False,UltraFastFashion
58,TRÈS BON ÉTAT,ZARA,2022-04-04,JEAN COUPE LARGE ZARA,12.0,"PORTES QUELQUES FOIS , TRÈS BON ÉTAT MAIS TROP PETIT",False,FastFashion
59,NEUF SANS ÉTIQUETTE,LACOSTE,2022-04-02,🦋 JEAN LACOSTE,29.95,"🏷 I JEAN LACOSTE MARINE

📊 I ÉTAT 9,5/10 (PORTÉ 2/3 FOIS)

📏 I TAILLE 44 || LONGUEUR : 98CM || LARGUEUR : 44CM

🍭I UN CADEAU OFFERT DANS CHAQUE COMMANDE

🌿—————————————————————🌿

❓ TU AS DES QUESTIONS SUR L’ARTICLE ? JE SUIS ÉGALEMENT LÀ POUR T’AIDER DONC N’HÉSITE PAS 😊 ❓

📦 EXPÉDITION SOUS 24H. (JOUR OUVRÉ)
✅ EMBALLAGE SOIGNÉ (ENVELOPPE D’EXPÉDITION)

📱ABONNE TOI POUR NE RIEN MANQUER DES NOUVEAUX ARTICLES QUOTIDIENS ! 📱

🌿—————————————————————🌿



TAGS : SWEAT, HOODIE, VINTAGE, PANTALON, REGULAR",False,Fashion
60,NEUF SANS ÉTIQUETTE,LEVI'S,2022-03-24,JEAN LEVI'S 711,15.0,"NEUF
W23 L30",False,FastFashion
61,NEUF AVEC ÉTIQUETTE,ZARA,2022-03-20,JEAN ZARA,20.0,JEAN JAMAIS PORTÉ,False,FastFashion
62,TRÈS BON ÉTAT,ZELYS PARIS,2022-04-04,JEAN ZELYS,15.0,"JEAN ZELYS JAMAIS PORTÉE , EN TRÈS BONNE ÉTAT . TAILLE 38 POUR HOMME . JE L’AI PAYER 45€ JE LE MET À 20€ :) 
#JEANS #HOMME #ZELYSPARIS #ZELYS #JEANSKINNY #JEANTROUÉS #JEANGRIS #JEANNOIR",False,UltraFastFashion
63,NEUF AVEC ÉTIQUETTE,LACOSTE,2022-04-02,🦋 JEAN LACOSTE NEUF TAILLE 44 🦋,44.95,"🏷 I JEAN LACOSTE MARINE NEUF

📊 I ÉTAT 10/10 (PARFAIT)

📏 I TAILLE 44 || LONGUEUR : 94,5CM || LARGUEUR : 44CM

🍭I UN CADEAU OFFERT DANS CHAQUE COMMANDE

🌿—————————————————————🌿

❓ TU AS DES QUESTIONS SUR L’ARTICLE ? JE SUIS ÉGALEMENT LÀ POUR T’AIDER DONC N’HÉSITE PAS 😊 ❓

📦 EXPÉDITION SOUS 24H. (JOUR OUVRÉ)
✅ EMBALLAGE SOIGNÉ (ENVELOPPE D’EXPÉDITION)

📱ABONNE TOI POUR NE RIEN MANQUER DES NOUVEAUX ARTICLES QUOTIDIENS ! 📱

🌿—————————————————————🌿



TAGS : SWEAT, HOODIE, VINTAGE, PANTALON, REGULAR",False,Fashion
64,BON ÉTAT,LEVI'S,2022-04-04,JEAN LEVIS 501,30.0,"SOUVENT PORTÉ , TAILLE CORRECTEMENT",False,FastFashion
65,TRÈS BON ÉTAT,STRADIVARIUS,2022-03-31,JEAN MODE,10.0,TRÈS BON ÉTAT. T38. TISSU JEAN LÉGER . TAILLE HAUTE,False,UltraFastFashion
66,TRÈS BON ÉTAT,nan,2022-04-04,JEANS FEMME 34,5.0,"JEANS SLIM FEMME 
#FEMME34WINIFREDDEPOORTERE",False,UltraFastFashion
67,TRÈS BON ÉTAT,PROMOD,2022-04-04,JEANS DE CHEZ PROMOD,5.0,"JEANS PROMOD EN TRÈS BON ÉTAT 36 JE NE RENTRE PLUS DEDANS DONC JE NE PEUX PAS FAIRE DE PHOTO

#FEMME36WINIFREDDEPOORTERE",False,FastFashion
68,BON ÉTAT,KIABI,2022-04-04,PANTALON GARÇON,1.0,"PANTALON GARÇON DE CHEZ KIABI LÉGÈREMENT TACHER AU NIVEAU DES GENOUX À VOIR SUR PHOTO 

#5ANSGARCONSWINIFREDDEPOORTERE",False,FastFashion
69,TRÈS BON ÉTAT,MORGAN,2022-04-04,JEAN FEMME DE CHEZ MORGAN,3.0,"JEAN DE CHEZ MORGAN TAILLE 36 PORTER 2/3 FOIS

#FEMME36WINIFREDDEPOORTERE",False,UltraFastFashion
70,TRÈS BON ÉTAT,GAPKIDS,2022-04-04,JEANS DROIT FILLE 12 ANS,3.0,"JEANS DROIT FILLE 12 ANS 
LEGEREMENT JAUNI DANS LA POCHE MAIS NE GENE EN RIEN DU TOUT SINON IL RESTE EN EXCELLENT ETAT
#FILLE12ANSWINIFREDDEPOORTERE",False,FastFashion
71,TRÈS BON ÉTAT,LEVI'S,2022-03-30,JEAN LEVI’S 511 NOIR,35.0,"JEAN LEVI’S 511 NOIR 


TAILLE : W32 L34


MESURES À PLAT : 

- LONGUEUR : 103CM
- BASSIN : 40CM
- ENTREJAMBE : 25CM
- CUISSE : 22CM
- CHEVILLE : 15CM

DÉFAUTS : USURES 








LGE-477


#JEAN #LEVIS #JEANLEVIS #LEVISTENDANCE #LEVISVINTAGE #JEANTENDANCE #JEANVINTAGE #BF_JEANLEVIS #TENDANCE #MODE #FASHION #VINTAGE #JEANLEVISTENDANCE #STREETWEAR #WORKWEAR",False,FastFashion
72,TRÈS BON ÉTAT,NINA CARTER,2022-03-27,JEAN SLIM ELASTHANE,8.0,"JEAN EN PARFAIT ÉTAT TAILLE 48 MAIS TAILLE PETIT C'EST POURQUOI JE LE METS EN 46 .
TAILLE HAUTE
TRÈS CONFORTABLE CAR ASSEZ ÉLASTIQUE (VOIR COMPOSITION).",False,UltraFastFashion
73,NEUF AVEC ÉTIQUETTE,LEE,2022-03-10,PANTALON JEAN LEE TOUT NEUF. TAILLE 36,26.0,PANTALON JEAN LEE TOUT NEUF. TAILLE S,False,UltraFastFashion
74,BON ÉTAT,LACOSTE,2022-04-02,🦋 JEAN LACOSTE VINTAGE 44 🦋,14.95,"🏷 I JEAN LACOSTE VINTAGE MARINE

📊 I ÉTAT 6/10 (PLUSIEURS TRACES D’USURES)

📏 I TAILLE 44 || LONGUEUR : 98CM || LARGUEUR : 44CM

🍭I UN CADEAU OFFERT DANS CHAQUE COMMANDE

🌿—————————————————————🌿

❓ TU AS DES QUESTIONS SUR L’ARTICLE ? JE SUIS ÉGALEMENT LÀ POUR T’AIDER DONC N’HÉSITE PAS 😊 ❓

📦 EXPÉDITION SOUS 24H. (JOUR OUVRÉ)
✅ EMBALLAGE SOIGNÉ (ENVELOPPE D’EXPÉDITION)

📱ABONNE TOI POUR NE RIEN MANQUER DES NOUVEAUX ARTICLES QUOTIDIENS ! 📱

🌿—————————————————————🌿



TAGS : SWEAT, HOODIE, VINTAGE, PANTALON, REGULAR",False,Fashion
75,TRÈS BON ÉTAT,BOUTIQUE INDÉPENDANTE,2022-03-30,JEAN FEMME TAILLE 44 TRÈS BON ÉTAT,9.0,JEAN FEMME TAILLE 44 TRÈS BON ÉTAT LARGEUR TAILLE PRIT À PLAT D UN COTER 44 CM LONG TOTAL 100 CM ET ENTRE JAMBE 77 CM BAS DES JAMBES 23 CM LARG HAUT CUISSE PRIT À PLAT D UN COTER 32 CM,False,UltraFastFashion
76,TRÈS BON ÉTAT,BERSHKA,2022-04-02,JEAN MOM/BOYFRIEND GRIS TROUÉ (FEMME),25.0,⭐️ TRÈS BON ÉTAT,False,FastFashion
77,BON ÉTAT,POCOPIANO,2022-03-21,JEAN GARÇON,1.0,PORTER QUELQUES FOIS,False,UltraFastFashion
78,NEUF SANS ÉTIQUETTE,SHEIN,2022-03-23,JEAN EFFET DÉCOLORÉ DÉGRADÉ,10.0,JAMAIS PORTÉ,False,UltraFastFashion
79,TRÈS BON ÉTAT,STRADIVARIUS,2022-04-04,JEAN TAILLE HAUTE STRADIVARIUS,19.0,"QUASI NEUVE 
VALEUR MAGASIN 39,99€
PLUS D’INFO PV
ENVOI RAPIDE",False,UltraFastFashion
80,TRÈS BON ÉTAT,SALSA,2022-04-04,JEAN SALSA TAILLE 36,30.0,"JEAN SALSA
TAILLE 36
PORTÉ 1 FOIS CAR DEVENU TROP PETIT.
ÉTAT NEUF
ACHETÉ EN BOUTIQUE 100 EUROS",False,UltraFastFashion
81,TRÈS BON ÉTAT,DIESEL,2022-04-04,JEAN DIESEL SLIM-SKINNY BLEU CLAIR.,35.0,"BONJOUR, JE VEND CE JEAN ACHETER CHER DIESEL AU PRIX DE 180 EUROS. JE M’EN SÉPARE CAR JE NE L’AI PORTÉ QUE TRÈS PEU DE FOIS. TAILLE W29-L32. CONVIENT PARFAITEMENT POUR UNE PERSONNE PORTANT DU 38. 100% AUTHENTIQUE.


#JEANS #JEANSSLIM #DIESEL #BYDIESEL",False,Fashion
82,TRÈS BON ÉTAT,LEVI'S,2022-04-04,JEAN LEVI’S 501,30.0,JEAN TRÈS BON ETAT,False,FastFashion
83,NEUF SANS ÉTIQUETTE,PRETTYLITTLETHING,2022-04-02,JEAN BOYFRIEND PRETTY LITTLE THING,20.0,NEUF JAMAIS PORTÉ,False,UltraFastFashion
84,BON ÉTAT,LACOSTE,2022-04-02,🦋 JEAN LACOSTE VINTAGE 44 🦋,14.95,"🏷 I JEAN LACOSTE VINTAGE BLEU DÉLAVÉ

📊 I ÉTAT 7,5/10 (ÉTIQUETTE DERRIÈRE ENLEVÉ)

📏 I TAILLE 44 || LONGUEUR : 95CM || LARGUEUR : 44CM

🍭I UN CADEAU OFFERT DANS CHAQUE COMMANDE

🌿—————————————————————🌿

❓ TU AS DES QUESTIONS SUR L’ARTICLE ? JE SUIS ÉGALEMENT LÀ POUR T’AIDER DONC N’HÉSITE PAS 😊 ❓

📦 EXPÉDITION SOUS 24H. (JOUR OUVRÉ)
✅ EMBALLAGE SOIGNÉ (ENVELOPPE D’EXPÉDITION)

📱ABONNE TOI POUR NE RIEN MANQUER DES NOUVEAUX ARTICLES QUOTIDIENS ! 📱

🌿—————————————————————🌿



TAGS : SWEAT, HOODIE, VINTAGE, PANTALON, REGULAR",False,Fashion
85,TRÈS BON ÉTAT,OKAÏDI,2022-03-13,JEAN SLIM,3.5,OKAIDI,False,UltraFastFashion
86,TRÈS BON ÉTAT,BLANCHEPORTE,2022-04-04,JEAN BLEU,12.0,"JEAN BLEU TAILLE 42 FERMÉ PAR 4 BOUTONS , 4 POCHES",False,UltraFastFashion
87,TRÈS BON ÉTAT,BLANCHEPORTE,2022-04-04,JEAN BLEU,12.0,"JEAN BLEU TAILLE 42 FERMÉ PAR 4 BOUTONS , 4 POCHES",False,UltraFastFashion
88,BON ÉTAT,MONKI,2022-04-04,JEAN TAIKI,15.0,"JEAN TAILLE HAUTE
 
JE MESURE 170 DU COUP IL EST UN PEU SHORT POUR MOI

BON ÉTAT

TAILLE 27 ( ÇAVA POUR UN 36 OU PETIT 38)",False,UltraFastFashion
89,NEUF AVEC ÉTIQUETTE,SHEIN,2022-04-04,JEAN MARRON STYLE TIE & DYE,10.0,"JAMAIS PORTÉ, TROP LARGE ET LONG POUR MOI
TAILLE BIEN, JOLIES COULEURS, ÉQUIVAUT BIEN À UN 36

VENDU AVEC LE SAC SHEIN D'ORIGINE 
LA DERNIÈRE PHOTO EST CELLE DE L'ARTICLE SUR LE SITE",False,UltraFastFashion
90,TRÈS BON ÉTAT,DIESEL,2022-04-02,JEAN GRIS / DIESEL,25.0,"JEAN GRIS DÉLAVÉ. 
EFFET ABIMÉ AU NIVEAU DES GENOUX. 

TAILLE : W28 - L32
COUPE : THOMMER - SKINNY

ÉTAT PROCHE DU NEUF.
PORTÉ 4 FOIS.

PS : 184CM / 75KG.",False,Fashion
91,TRÈS BON ÉTAT,MANGO,2022-03-25,JEAN MOM FIT TAILLE HAUTE,15.0,"JEAN MOM FIT BLEU CLAIR DÉLAVÉ, TAILLE HAUTE. PORTÉ 1FOIS.",False,FastFashion
92,BON ÉTAT,ZARA,2022-03-21,JEAN GARÇON,2.0,PORTER QUELQUES FOIS,False,FastFashion
93,NEUF AVEC ÉTIQUETTE,LA PETITE FRANCAISE,2022-03-23,JEAN LA PETITE FRANÇAISE,25.0,"JEAN SLIM BLEU CLAIR 
NEUF",False,Fashion
94,TRÈS BON ÉTAT,LEVI'S,2022-03-24,JEAN’S LÉVIS SLIGHT CURVEW30L30,25.0,"EN TRÈS BON ÉTAT 
LARGEUR TAILLE 38
LONGUEUR 99CM",False,FastFashion
95,TRÈS BON ÉTAT,PLEASE,2022-04-04,PLEASE NOIR,12.0,"EXCELLENT ÉTAT
POUR UN 38 OU UN 40",False,UltraFastFashion
96,NEUF SANS ÉTIQUETTE,JEWELLY,2022-04-04,JEAN NEUF,12.0,"NEUF
SLIM
AVEC ELASTHANNE",False,UltraFastFashion
97,NEUF SANS ÉTIQUETTE,ZNJ,2022-04-04,MAGNIFIQUE HAUT DE SOIRÉE ZNJ,12.0,"UNE MANCHE LONGUE ET UNE ÉPAULE NUE. EN SATIN. ZIP D UN CÔTÉ ET LIEN POUR ME FRONCER SI ON LE SOUHAITE. ARRIVE Á LA TAILLE. L OURLET D UN CÔTÉ ET DÉFAIT, PRÉVOIR QUELQUES POINTS",False,UltraFastFashion
98,NEUF AVEC ÉTIQUETTE,CASA,2022-03-26,GLOBE TERRESTRE NEUF,15.0,AVEC ÉTIQUETTE,False,UltraFastFashion
99,NEUF SANS ÉTIQUETTE,ISABEL MARANT,2022-03-26,JUPE NEUVE ISABEL MARANT,69.0,"NEUVE 
100%SOIE
38 OU 36",False,Fashion
100,NEUF SANS ÉTIQUETTE,ZEHOOD,2022-04-04,JEAN ZEHOOD,25.0,JEAN ZEHOOD NEUF SANS ÉTIQUETTE,False,UltraFastFashion
0,TRÈS BON ÉTAT,LEVI'S,2022-04-01,,25.0,JEAN'S LEVI'S 510 32X32TRADUIRE,False,FastFashion
1,TRÈS BON ÉTAT,AMIRI,2022-04-04,,240.0,JEAN AMIRI BLEU TAILLE 32 (LOOK USÉ)TRADUIRE,False,Fashion
2,TRÈS BON ÉTAT,AMIRI,2022-04-04,,240.0,JEANS AMIRI BLEU TAILLE 32 LOOK KARIERTTRADUIRE,False,Fashion
3,TRÈS BON ÉTAT,AMIRI,2022-04-04,,240.0,JEAN AMIRI BLEU TAILLE 32 (LOOK USÉ)TRADUIRE,False,Fashion
4,TRÈS BON ÉTAT,AMIRI,2022-04-04,,300.0,JEAN AMIRI NOIR À RAYURES BLANCHES TAILLE 32TRADUIRE,False,Fashion
5,NEUF AVEC ÉTIQUETTES,ISABEL MARANT,2022-03-28,,118.0,JEAN EN COTON ISABEL MARANT. TIR HAUT TOUT NEUFTRADUIRE,False,Fashion
6,NEUF AVEC ÉTIQUETTES,ZARA,2022-03-31,,22.0,JEAN EN DENIM BLEUTRADUIRE,False,FastFashion
7,TRÈS BON ÉTAT,JACQUEMUS,2022-03-30,,120.0,MODÈLE LA RIVIERA EN DENIM BLANC LARGE.TRADUIRE,False,Undefined
8,TRÈS BON ÉTAT,ÉTUDES STUDIO,2022-03-28,,54.0,"JEAN ÉTUDES STUDIO SIZE 46 (36 EU)

TRÈS BON ÉTATTRADUIRE",False,Undefined
9,TRÈS BON ÉTAT,PHILIPP PLEIN,2022-04-04,,90.0,JEAN PHILIPP PLEIN SUPER COUPE DROITE. ÉLASTIQUÉ. TAILLE 34. TRÈS BON ÉTAT.TRADUIRE,False,Fashion
10,TRÈS BON ÉTAT,DIESEL,2022-03-31,,21.0,"JEAN LÉGÈREMENT ÉVASÉ, TAILLE BASSETRADUIRE",False,Fashion
11,TRÈS BON ÉTAT,DSQUARED2,2022-03-28,,50.0,JEAN MOULANT À JAMBE DROITE ET TAILLE BASSE. ZIP EN BASTRADUIRE,False,Fashion
12,NEUF AVEC ÉTIQUETTES,JACOB COHEN,2022-04-03,,85.61,"JACOB COHEN LIMITED EDITION.
NOUVELLE TAILLE 30. 

MODÈLE : J622 NEW LTD.TRADUIRE",False,Undefined
13,TRÈS BON ÉTAT,PHILIPP PLEIN,2022-04-04,,80.0,JEANS PHILIPP PLEIN TAGLIO SUPER STRAIGHT CUT TAGLIA 34. OTTIME CONDIZIONI.TRADUIRE,False,Fashion
14,NEUF AVEC ÉTIQUETTES,DSQUARED2,2022-04-02,,150.0,JEANS DSQUARED2 NEUF JAMAIS PORTÉ AVEC ÉTIQUETTETRADUIRE,False,Fashion
