,État,Marque,Date,nom,Prix,Description,cat
167,TRÈS BON ÉTAT,BRICE,2022-04-04,COL ROULÉ BRICE,10.0,"CE BEAU PETIT COL ROULÉ GRIS, TRÈS AGRÉABLE À PORTER, TAILLE TRÈS BIEN AUTANT AU NIVEAU DES BRAS QUE DE LA TAILLE, MAIS JE M'EN SÉPARE CAR JE NE LE METS TOUT SIMPLEMENT PLUS !

✅ ARTICLES 100% AUTHENTIQUES

✅ TOUT EST NÉGOCIABLE

✅ ENVOIS RAPIDES (LE JOUR MÊME OU LE LENDEMAIN 🏎) ET SOIGNÉS (PRINCIPALEMENT AVEC MONDIAL RELAY MAIS RIEN NE VOUS EMPÊCHE DE CHOISIR UN AUTRE TRANSPORTEUR !😋)

🥳 DES RÉDUCTIONS SUR CHAQUE ARTICLE SI VOUS ME SUIVEZ SUR MON COMPTE VINTED ! ET ENCORE + SI VOUS ME SUIVEZ SUR MON INSTA ! 🥳

(EXEMPLE : SUR UN ARTICLE À 50€ → -5€ SI VOUS ME SUIVEZ SUR VINTED/INSTAGRAM ET -10€ SI VOUS ME SUIVEZ SUR VINTED ET INSTAGRAM !)

VENEZ FAIRE UN TOUR SUR MON INSTA : @_FRAYITO 🤩",UltraFastFashion
168,NEUF SANS ÉTIQUETTE,RALPH LAUREN,2022-03-30,COL ROULÉ RALPH LAUREN,55.0,"NEUF JAMAIS PORTÉ, TRÈS CLASSE.
TAILLE NORMALEMENT",Undefined
169,NEUF AVEC ÉTIQUETTE,STONE ISLAND,2022-04-04,COL ROULÉ GRIS STONE ISLAND L,107.0,"⬇️ TAILLE ET INFORMATIONS CI-DESSOUS ⬇️



ÉTAT DE L’ARTICLE -> 8 /10🏷

TAILLE -> L ( CONVIENT À UN M ) 📏

INFOS DÉFAUTS -> ❌

MANNEQUIN -> 1M85 POUR 70KG 

INSTAGRAM -> ONEOFF.INDUSTRY 🚄

➡️ POUR VOIR LES PROCHAINS ARTICLES EN AVANT PREMIÈRE 📆


#STONEISLAND #CASUAL #STREETWEAR",Undefined
176,NEUF SANS ÉTIQUETTE,SANDRO,2022-04-04,COL ROULÉ SANDRO 100% CASHMERE,115.0,"COL ROULÉ SANDRO EN TRÈS BON ÉTAT 💎
TAILLE M
100% CASHMERE, TRÈS AGRÉABLE À PORTER
LA HOUSSE PRÉSENTE SUR LA PHOTO N’EST PAS VENDU AVEC❗️
100% AUTHENTIQUE ✅
ENVOI LE JOUR MÊME OU LE LENDEMAIN 📦⏳

🔔 N’HÉSITE PAS À T’ABONNER ET REGARDER MES AUTRES ARTICLES. JE POSTE RÉGULIÈREMENT DES ARTICLES DE GRANDES MARQUES ✅",Fashion
177,NEUF AVEC ÉTIQUETTE,NA-KD,2022-04-04,PULL CHAUD COL ROULÉ NA-KD 36,15.0,"PULL CRÈME, JAMAIS PORTÉ, NEUF AVEC ÉTIQUETTE",UltraFastFashion
178,NEUF SANS ÉTIQUETTE,AMI,2022-04-04,COL ROULÉ AMI PARIS,250.0,"PORTER 3 FOIS 
10/10 
ACHETÉ SUR NICE À LA BOUTIQUE LAFABRIC 
ACHETER 400 EUROS 
TAILLE L",Fashion
180,TRÈS BON ÉTAT,LACOSTE,2022-04-04,COL ROULÉ LACOSTE VINTAGE,34.0,"PULL EN TRÈS BON ÉTAT ! 
TAILLE M - S
N’HÉSITEZ PAS POUR PLUS D’INFO",Fashion
192,NEUF SANS ÉTIQUETTE,MANOUKIAN,2022-04-04,COL ROULÉ,7.0,"TRÈS BON ÉTAT,JAMAIS PORTÉ !",UltraFastFashion
194,NEUF SANS ÉTIQUETTE,DEVRED,2022-04-04,PULL COL ROULE,20.0,PULL COL ROULE JAMAIS MIS,UltraFastFashion
195,NEUF SANS ÉTIQUETTE,JACK & JONES,2022-04-04,PULL COL ROULÉ NOIR,15.0,COL ROULÉ NOIR JACK&JONES NEUF JAMAIS PORTER TAILLE NORMAL POUR UN S / BONNE COUPE / TRÈS AGRÉABLE À PORTER / PULL ASSEZ FIN,UltraFastFashion
196,NEUF SANS ÉTIQUETTE,JULES,2022-04-04,COL ROULÉ,5.0,"COL ROULÉ JAMAIS PORTÉ.
EN PARFAIT ÉTAT.",UltraFastFashion
198,TRÈS BON ÉTAT,DEVRED,2022-04-04,PULL COL ROULÉ,10.0,"PULL À COL ROULÉ DEVRED 
ENVOI RAPIDE ET SOIGNÉ 
TAILLE XXL",UltraFastFashion
209,TRÈS BON ÉTAT,AMERICAN VINTAGE,2022-04-04,PULL COL ROULÉ AMERICAN VINTAGE,20.0,TRÈS PEU PORTÉ. VENDU CAR TROP PETIT.,UltraFastFashion
219,TRÈS BON ÉTAT,UNIQLO,2022-04-04,COL ROULÉ UNIQLO,6.0,PULL COL ROULÉ DE A MARQUE UNIQLO TAILLE M,FastFashion
220,TRÈS BON ÉTAT,PRIMO EMPORIO,2022-04-04,PULL COL ROULER,20.0,"VENDS BEAU PULL COL ROULER NOIR 
⚠️ TAILLE M MAIS CORRESPOND À UN S ⚠️

ACHETER SUR VINTED MAIS TROP PETIT POUR MOI
TRÈS BEAU ET DE BONNE QUALITÉ. 
UNISEXE, IL FERA TRÈS BEL EFFET AUSSI BIEN SUR UNE FEMME QUE SUR UN HOMME.",UltraFastFashion
221,BON ÉTAT,KIABI,2022-04-04,PULL COL ROULÉ,4.0,"PULL COL ROULÉ, MAILLE FINE, NOIR",FastFashion
222,BON ÉTAT,RALPH LAUREN,2022-04-04,COL ROULÉ BLEU CIEL RALPH LAUREN L FEMME,2.0,"COL ROULÉ EN COTON BLEU CIEL RALPH LAUREN FEMME 
TAILLE L 
BON ÉTAT",UltraFastFashion
225,BON ÉTAT,JULES,2022-04-04,PULL TORSADE,5.0,PULL À COL ROULÉ,UltraFastFashion
226,TRÈS BON ÉTAT,HUGO BOSS,2022-04-04,PULL COL ROULÉ,15.0,PEU PORTÉ,UltraFastFashion
246,TRÈS BON ÉTAT,AMI,2022-03-17,COL ROULÉ AMI,280.0,COL ROULÉ AMI EN PARFAIT ÉTAT,Fashion
252,NEUF SANS ÉTIQUETTE,nan,2022-04-04,PULL COL ROULÉ,7.0,PULL COL ROULÉ,UltraFastFashion
254,NEUF AVEC ÉTIQUETTE,ZARA,2022-04-04,PULL COL ROULÉ,20.0,PULL COL ROULÉ BLANC ZARA JAMAIS PORTÉ (CADEAU DE NOËL).,FastFashion
255,TRÈS BON ÉTAT,RALPH LAUREN,2022-04-04,PULL RALPH LAUREN,35.0,"PULL RALPH LAUREN À COL ROULÉ, QUI N'ATTEND QUE D'ÊTRE PORTÉ ! 
IL EST EN TRÈS BON ÉTAT :)

T’ES INTÉRESSÉ(E) ? VIENS DANS MES DM DIRECTEMENT ! ✉️
ON POURRA DISCUTER DU PRIX TRANQUILLEMENT, ET PUIS, SI T’AS DES QUESTIONS, JE SERAI LÀ POUR TOI ! 😉 

J’ENVOIE LE PLUS RAPIDEMENT POSSIBLE ! 📦

TAILLE M HOMME, COULEUR GRIS FONCÉ",UltraFastFashion
260,TRÈS BON ÉTAT,DEVRED,2022-04-04,PULL LAINE COL ROULÉ DEVRED,5.0,PULL EN LAINE COL ROULÉ COULEUR GRIS TAILLE L,UltraFastFashion
265,NEUF SANS ÉTIQUETTE,nan,2022-04-04,PULL COL ROULÉ,7.0,PULL COL ROULÉ,UltraFastFashion
267,NEUF AVEC ÉTIQUETTE,ZARA,2022-04-04,PULL COL ROULÉ,20.0,PULL COL ROULÉ BLANC ZARA JAMAIS PORTÉ (CADEAU DE NOËL).,FastFashion
268,TRÈS BON ÉTAT,RALPH LAUREN,2022-04-04,PULL RALPH LAUREN,35.0,"PULL RALPH LAUREN À COL ROULÉ, QUI N'ATTEND QUE D'ÊTRE PORTÉ ! 
IL EST EN TRÈS BON ÉTAT :)

T’ES INTÉRESSÉ(E) ? VIENS DANS MES DM DIRECTEMENT ! ✉️
ON POURRA DISCUTER DU PRIX TRANQUILLEMENT, ET PUIS, SI T’AS DES QUESTIONS, JE SERAI LÀ POUR TOI ! 😉 

J’ENVOIE LE PLUS RAPIDEMENT POSSIBLE ! 📦

TAILLE M HOMME, COULEUR GRIS FONCÉ",UltraFastFashion
269,TRÈS BON ÉTAT,TERANCE KOLE,2022-04-04,TRES JOLI PULL COL ROULE TAILLE XL,4.99,TRES BON ÉTAT,UltraFastFashion
270,BON ÉTAT,C&A,2022-04-04,SUPERBE PULL COL ROULE,3.49,BON ÉTAT GÉNÉRAL,UltraFastFashion
278,TRÈS BON ÉTAT,DEVRED,2022-04-04,PULL LAINE COL ROULÉ DEVRED,5.0,PULL EN LAINE COL ROULÉ COULEUR GRIS TAILLE L,UltraFastFashion
280,BON ÉTAT,JULES,2022-04-04,COL ROULÉ JULE,5.0,"ÉTIQUETTE COUPÉ
PEU PORTÉ
ACHETÉ IL Y A 3 MOIS",UltraFastFashion
286,TRÈS BON ÉTAT,CELIO,2022-04-04,PULL À COL ROULE CELIO,8.0,"PULL À COL ROULE EN TRÈS BON ÉTAT. CONFORTABLE, MATIÈRE DOUCE ET AGRÉABLE. TAILLE PARFAITEMENT.",UltraFastFashion
288,NEUF SANS ÉTIQUETTE,ESPRIT,2022-04-04,PULL COL ROULÉ ESPRIT,8.0,"PULL COL ROULÉ ESPRIT, JAMAIS PORTÉ JUSTE MIS À LA MACHINE, TAILLE L. 

100% COTON.",UltraFastFashion
290,NEUF SANS ÉTIQUETTE,COLLUSION,2022-04-04,COL ROULE ORANGE,7.0,JAMAIS PORTÉ,UltraFastFashion
293,BON ÉTAT,YOURTURN,2022-04-04,PULL COL ROULÉ GRIS CHINÉ,5.0,PULL COL ROULÉ GRIS CHINÉ MANCHE LONGUES,UltraFastFashion
294,TRÈS BON ÉTAT,ZARA,2022-04-04,PULL COL ROULÉ ZARA,20.0,"TRÈS BON ÉTAT 
PAS DE DÉFAUT",FastFashion
0,SATISFAISANT,SISLEY,2022-02-05,,17.0,"COL ROULÉ SISLEY UNISEXE. EN LAINE AVEC CÔTES HORIZONTALES DANS LA PARTIE CENTRALE ET VERTICALES AUX POIGNETS, À LA FIN ET AU COL.TRADUIRE",UltraFastFashion
1,NEUF AVEC ÉTIQUETTES,TRUSSARDI,2020-10-06,,115.0,PULL COL ROULÉ UNISEXE MARRON EN LAINE ET ACRYLIQUE. CORRESPOND À LA TAILLE INDIQUÉE SUR L'ÉTIQUETTE. PETIT LOGO EN BAS.TRADUIRE,Undefined
2,TRÈS BON ÉTAT,HARTFORD,2021-02-05,,75.0,"PULL COL ROULÉ FLUIDE EN LAINE ET CACHEMIRE 
PEUT SE PORTER UNISEXTRADUIRE",Undefined
3,BON ÉTAT,DOLCE & GABBANA,2018-04-06,,130.0,COL ROULÉ EN LAINE MÉRINOS AVEC LETTRES SNOV EN MORCEAUX DE LA MÊME LAINE COUSUS SUR LE DESSUS. IL EST DROIT SANS ÉLASTIQUE. IL PEUT ÊTRE UNISEXE .... LONGUEUR DES MANCHES 67CM.TRADUIRE,Fashion
4,BON ÉTAT,BALENCIAGA,2022-02-16,,91.92,TUNIQUE COL ROULÉ EN LAINE NOIRE BALENCIAGA DOS DRAPÉ MANCHES LONGUES. TAILLE DE L'ÉTIQUETTE D'ENTRETIEN : 38. TAILLE : UK 10 | ÉTATS-UNIS 6 | UE 38. 100% LAINE. CONDITION EXCELLENTE. L'ARTICLE MONTRE DES SIGNES D'UTILISATION DOUCE. VEUILLE...LIRE LA SUITETRADUIRE,Fashion
5,NEUF AVEC ÉTIQUETTES,TRUSSARDI,2020-10-04,,115.0,PULL COL ROULÉ UNISEXE BLEU FONCÉ EN LAINE ET ACRYLIQUE. CORRESPOND À LA TAILLE INDIQUÉE SUR L'ÉTIQUETTE. PETIT LOGO EN BAS.TRADUIRE,Undefined
6,NEUF AVEC ÉTIQUETTES,TRUSSARDI,2020-10-04,,115.0,PULL COL ROULÉ UNISEXE BLEU FONCÉ EN LAINE ET ACRYLIQUE. CORRESPOND À LA TAILLE INDIQUÉE SUR L'ÉTIQUETTE. PETIT LOGO EN BAS.TRADUIRE,Undefined
7,TRÈS BON ÉTAT,ISABEL MARANT ETOILE,2021-11-27,,466.0,"PONCHO/CAPE COL ROULÉ EN LAINE MÉLANGÉE MULTI-PATCHWORK AUX TONS GRIS. 
LE STYLE EST CONNU SOUS LE NOM DE « RAQUEL » ET COMPORTE UN TRICOT MULTI-TEXTURÉ SUR LE DEVANT ET UN TRICOT UNI À L'ARRIÈRE.
UN LOOK SURDIMENSIONNÉ QUI FLATTE TOUTES LE...LIRE LA SUITETRADUIRE",Fashion
8,NEUF SANS ÉTIQUETTE,CARAMEL,2020-03-05,,121.29,"SUPERBE PULL À COL ROULÉ EN LAINE CARAMEL POUR FEMMES. ACHETÉ L'AUTOMNE DERNIER MAIS JAMAIS PORTÉ. CONVIENT AU ROYAUME-UNI 6-12 POUR UN JOLI LOOK SURDIMENSIONNÉ. 100% LAINE. DE LA MAISON SANS ANIMAUX ET SANS FUMÉE. 
 
TRADUIRE",Undefined
9,BON ÉTAT,CALVIN KLEIN COLLECTION,2022-02-20,,49.79,"COLLECTION CALVIN KLEIN - PULL NOIR À COL ROULÉ EN LAINE TRICOTÉE.
TAILLE L, MAIS CONVIENT ÉGALEMENT À M.
100 % PURE LAINE VIERGE.
MAILLE STRUCTURÉE DE TYPE 2.[[2] ]] DOUBLÉ UNI SUR LE COL ROULÉ ET LE BAS. AUTRE- SUR LE CORPS ET LES MANCHES...LIRE LA SUITETRADUIRE",Undefined
10,BON ÉTAT,BALMAIN,2022-01-28,,204.28,PULL COL ROULÉ BALMAIN EN LAINE MÉLANGÉE NOIRE À COL MONTANT. TAILLE DE L'ÉTIQUETTE D'ENTRETIEN : 36. TAILLE : UK 8 | ÉTATS-UNIS 4 | UE 36. MOHAIR 42%; 40 % POLYAMIDE ; 18% LAINE. CONDITION EXCELLENTE. L'ARTICLE MONTRE DES SIGNES D'UTILISAT...LIRE LA SUITETRADUIRE,Fashion
11,NEUF AVEC ÉTIQUETTES,TRUSSARDI,2020-10-02,,115.0,PULL UNISEXE EN LAINE ET ACRYLIQUE À COL ROULÉ BLEU CLAIR. CORRESPOND À LA TAILLE INDIQUÉE SUR L'ÉTIQUETTE. PETIT LOGO EN BAS.TRADUIRE,Undefined
12,BON ÉTAT,LORO PIANA,2021-12-24,,345.99,HAUT À COL ROULÉ CÔTELÉ EN LAINE BLEUE TEXTURÉE LORO PIANA. TAILLE DE L'ÉTIQUETTE D'ENTRETIEN : 52. TAILLE : UK 42 | ÉTATS-UNIS 42 | UE XL. 100% LAINE. CONDITION EXCELLENTE. L'ARTICLE MONTRE DES SIGNES D'UTILISATION DOUCE. VEUILLEZ NOTER QU...LIRE LA SUITETRADUIRE,Fashion
13,BON ÉTAT,ROBERTO CAVALLI,2021-11-25,,94.48,COL ROULÉ SANS MANCHES EN LAINE MARRON ROBERTO CAVALLI. TAILLE DE L'ÉTIQUETTE D'ENTRETIEN : IT 40. TAILLE : UK 8 | ÉTATS-UNIS 4 | UE 36. 70% LAINE; 30% CACHEMIRE. CONDITION EXCELLENTE. L'ARTICLE MONTRE DES SIGNES D'UTILISATION DOUCE. VEUILL...LIRE LA SUITETRADUIRE,Undefined
14,NEUF AVEC ÉTIQUETTES,AQUASCUTUM,2020-12-01,,125.0,"PULL UNISEXE EN 90% LAINE ET 10% CACHEMIRE, COULEUR BLEU CLAIR AVEC LOGO VISIBLE. COL ROULÉ. CORRESPOND À LA TAILLE INDIQUÉE SUR L'ÉTIQUETTE.TRADUIRE",Undefined
15,NEUF AVEC ÉTIQUETTES,AQUASCUTUM,2020-12-01,,125.0,"PULL UNISEXE EN 90% LAINE ET 10% CACHEMIRE, COULEUR BLEU CLAIR AVEC LOGO VISIBLE. COL ROULÉ. CORRESPOND À LA TAILLE INDIQUÉE SUR L'ÉTIQUETTE.TRADUIRE",Undefined
16,NEUF AVEC ÉTIQUETTES,AQUASCUTUM,2020-12-01,,125.0,"PULL UNISEXE EN 90% LAINE ET 10% CACHEMIRE, COULEUR BLEU CLAIR AVEC LOGO VISIBLE. COL ROULÉ. CORRESPOND À LA TAILLE INDIQUÉE SUR L'ÉTIQUETTE.TRADUIRE",Undefined
17,BON ÉTAT,YOHJI YAMAMOTO,2021-01-25,,144.0,"POITRINE 50 CM
LONGUEUR TOTALE 68 CM

PULL COL ROULÉ 
YOHJI YAMAMOTO Y’S 
TAILLE 3 JAPON (VOIR MESURES)
EN LAINE CHINÉ RUSTIQUE, FINITIONS BORD FRANC 
PLUTÔT UNISEXE DANS LA COUPE 

EN TRÈS BONNE ÉTAT À PAR UN ÉCART DE MAILLE DEVANT, JE NE ...LIRE LA SUITETRADUIRE",Undefined
18,TRÈS BON ÉTAT,JUUNJ,2021-12-21,,116.0,"PULL À COL ROULÉ BLANC CASSÉ DE JUUN.J EN MÉLANGE DE LAINE FINE AVEC POLICE GENDERLESS SUR LA POITRINE.
MÉLANGE DE LAINE TRÈS DOUX. L'ÉTIQUETTE DE COMPOSITION ET L'ÉTIQUETTE DE TAILLE ONT ÉTÉ DÉCOUPÉES. SUPERBE PIÈCE UNISEXE !


TAILLE : SA...LIRE LA SUITETRADUIRE",Undefined
20,NEUF AVEC ÉTIQUETTES,BAUM UND PFERDGARTEN,2022-03-01,,55.0,"LE COL ROULÉ DE BAUM UND PFERDGARTEN EST COMPOSÉ D'UN MÉLANGE DE LAINE ET A UN DESIGN SANS MANCHES. EN RAISON DE LA FINITION DOUCE DU MATÉRIAU, LE MODÈLE IMPRESSIONNE PAR SA SENSATION DE CONFORT. LA PIÈCE TENDANCE À LA MODE EST COMPLÉTÉE PA...LIRE LA SUITETRADUIRE",Undefined
21,TRÈS BON ÉTAT,ALL SAINTS,2022-02-02,,51.07,"ALL SAINTS WOOL BLEND MENS CARDIGAN S (CONVIENT AUX FEMMES DE TAILLE MOYENNE) EXCELLENT ÉTAT
EXCELLENT ÉTAT, COMME NEUF
CONCEPTION À COL ROULÉ FLEXIBLE : VOUS POUVEZ L'ENROULER DE HAUT EN BAS
PARFAIT POUR S'HABILLER DE HAUT EN BAS
JE L'UTIL...LIRE LA SUITETRADUIRE",Undefined
22,TRÈS BON ÉTAT,MAX MARA,2019-12-19,,77.0,"PULL À COL ROULÉ RAYÉ MARRON ET NOIR MAX MARA, 45% MOHAIR, 35% LAINE, 20% NYLON. TAILLE S, CONVIENT AU ROYAUME-UNI 10-12, FRANÇAIS 38. FABRIQUÉ EN ITALIE.TRADUIRE",Undefined
24,BON ÉTAT,HUGO BOSS,2022-01-27,,33.0,TRÈS BEAU PULL À COL ROULÉ DE HUGO DANS UNE SUPER QUALITÉ DE LAINE VIERGE. MODÈLE UNISEXE ! UN FIL A « ÉCHAPPÉ » MAIS AUCUNE INFLUENCE SUR LA PORTABILITÉ (VOIR PHOTO)TRADUIRE,UltraFastFashion
25,NEUF SANS ÉTIQUETTE,ROBERTO CAVALLI,2021-10-14,,180.0,"PULL COL ROULÉ ROBERTO CAVALLI PREMIÈRE LIGNE.
TAILLE S, IL EST UNISEXE.
100% LAINE.
COULEUR NOIR.
NOUVEAU, DISPONIBLE DÈS MAINTENANT SUR LE SITE.TRADUIRE",Fashion
26,NEUF AVEC ÉTIQUETTES,ROBERTO COLLINA,2021-11-11,,100.0,PULL COL ROULÉ SLIM UNISEXETRADUIRE,Undefined
27,TRÈS BON ÉTAT,TOTÊME,2022-03-07,,434.09,"PULL À COL ROULÉ À RAYURES TOTEME SIGNATURE.

PORTÉ SEULEMENT QUELQUES FOIS ET JE SUIS EN EXCELLENT ÉTAT.

TAILLE DE CRÉATEUR S. JE SUIS AU ROYAUME-UNI 8/10 ET S'ADAPTE PARFAITEMENT. STYLE SURDIMENSIONNÉ POUR CONVENIR AU ROYAUME-UNI 8-12.

...LIRE LA SUITETRADUIRE",Fashion
28,BON ÉTAT,NON SIGNÉ / UNSIGNED,2020-10-11,,27.0,"PULL COL ROULÉ 100% LAINE, BLEU MOUTARDE ET NOIR SUR LE DEVANT ET NOIR UNI AU DOS, FIN MAIS TRÈS CHAUD, PARFAIT ÉTAT.TRADUIRE",UltraFastFashion
29,TRÈS BON ÉTAT,WHISTLES,2020-11-28,,42.0,"MAGNIFIQUE MAXI ROBE RAYÉE EN LAINE MÉLANGÉE SANS MANCHES DE WHISTLES TAILLE M 
 FABRIQUÉ AU ROYAUME-UNI. SUPERBES BOTTES ET COL ROULÉ 
 MAISON SANS FUMÉE 
 131 CM DE LONG 
 51 CM DE BRAS À BRAS AVANT 
 34 CM SUR LES ÉPAULES 
 PORTÉ QUELQUE...LIRE LA SUITETRADUIRE",UltraFastFashion
30,TRÈS BON ÉTAT,KAREN MILLEN,2021-12-22,,57.45,"PULL À COL ROULÉ ROUGE FONCÉ KAREN MILLEN, TAILLE UK 10, EXCELLENT ÉTAT
*** PAS SÛR DE LA TAILLE MAIS CONVIENT AU ROYAUME-UNI 10, VEUILLEZ VOUS RÉFÉRER AUX MESURES 
[ [2]]COMPOSITION : 92 % LAINE, 7 % POLYAMIDE, 1 % ÉLASTHANN

MESURES
...LIRE LA SUITETRADUIRE",Undefined
31,TRÈS BON ÉTAT,ISABEL MARANT ETOILE,2017-11-07,,139.0,"ISABEL MARANT, PULL UNI, COL ROULÉ. TAILLE 2.TRADUIRE",Fashion
33,NEUF SANS ÉTIQUETTE,JEAN PAUL GAULTIER,2021-12-31,,115.0,"PULL COL ROULÉ CLASSIQUE. AVEC UN GRAND LOGO JPG
LAINE GRISE
TAILLE XL FEMELLE, L MÂLE. 
UNISEXE JEAN'S PAUL GAULTIER.TRADUIRE",Undefined
34,NEUF AVEC ÉTIQUETTES,ROBERTO COLLINA,2021-12-12,,120.0,"PULL COL ROULÉ SLIM, UNISEXE.TRADUIRE",Undefined
